YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
96 01 01 00 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 01 01 156  2.7  4.7  5.22 16.67 10.44 283 1028.0  12.6  12.1 999.0 99.0
96 01 01 02 188  2.5  3.6  4.58 14.29  9.82 273 1028.0  12.8  12.1 999.0 99.0
96 01 01 03 240  2.5  4.5  4.97 14.29 10.16 276 1028.4  12.8  12.1 999.0 99.0
96 01 01 04 255  1.9  3.2  4.43 12.50  9.89 276 1028.3  12.8  12.1 999.0 99.0
96 01 01 05 190  1.1  2.0  4.43 14.29 10.07 275 1028.1  12.6  12.1 999.0 99.0
96 01 01 06 141   .6  3.1  4.44 14.29 10.14 278 1028.4  12.6  12.1 999.0 99.0
96 01 01 07 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 01 08 138  2.7  4.7  4.60 14.29 10.61 282 1027.7  12.7  12.1 999.0 99.0
96 01 01 09 158  1.6  2.8  4.45 14.29 10.57 276 1027.9  12.2  12.1 999.0 99.0
96 01 01 10 135  2.0  3.3  4.27 14.29 10.42 279 1027.5  12.5  12.1 999.0 99.0
96 01 01 11 118  2.3  4.2  4.34 14.29 10.23 277 1028.3  12.4  12.1 999.0 99.0
96 01 01 12 109  2.6  4.7  3.95 14.29 10.19 268 1028.2  12.5  12.1 999.0 99.0
96 01 01 13 125  2.1  3.8  4.06 14.29 10.31 275 1028.4  12.1  12.1 999.0 99.0
96 01 01 14 130  2.5  3.9  3.63 14.29 10.09 272 1028.1  12.1  12.1 999.0 99.0
96 01 01 15 122  2.5  4.0  3.48 14.29  9.83 280 1028.0  12.1  12.1 999.0 99.0
96 01 01 16 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 01 17 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 01 18 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 01 19 192  2.3  3.3  2.78 14.29  9.22 284 1028.5  13.3  12.1 999.0 99.0
96 01 01 20 215  2.4  3.6  2.97 12.50  9.17 277 1028.3  12.8  12.1 999.0 99.0
96 01 01 21 186  2.3  2.9  2.93 14.29  9.31 286 1027.7  12.8  12.1 999.0 99.0
96 01 01 22 180  2.4  3.1  3.02 12.50  9.53 278 1027.3  12.9  12.1 999.0 99.0
96 01 01 23 145  2.7  3.7  2.77 12.50  9.19 275 1027.1  12.7  12.1 999.0 99.0
96 01 02 00 198  2.2  2.8  2.48 12.50  8.97 275 1027.3  12.8  12.1 999.0 99.0
96 01 02 01 191  2.0  2.6  2.48 14.29  9.15 273 1027.2  12.8  12.1 999.0 99.0
96 01 02 02 190  1.4  1.9  2.66 12.50  9.62 275 1026.9  12.8  12.1 999.0 99.0
96 01 02 03 142  2.0  2.9  2.54 12.50  9.69 277 1026.5  12.8  12.1 999.0 99.0
96 01 02 04 167  2.2  2.8  2.29 12.50  9.31 278 1026.2  12.7  12.1 999.0 99.0
96 01 02 05 201  2.3  2.8  2.13 12.50  8.80 274 1025.8  12.8  12.1 999.0 99.0
96 01 02 06 207  2.5  3.5  1.99 11.11  8.67 273 1025.7  12.9  12.1 999.0 99.0
96 01 02 07 210  2.7  3.5  2.04 12.50  8.77 271 1025.2  12.9  12.1 999.0 99.0
96 01 02 08 206  2.7  3.4  2.20 12.50  8.77 268 1024.8  12.9  12.1 999.0 99.0
96 01 02 09 206  2.5  3.2  2.02 12.50  8.70 280 1024.2  12.9  12.1 999.0 99.0
96 01 02 10 242  2.9  4.1  2.03 12.50  8.71 274 1024.3  12.9  12.1 999.0 99.0
96 01 02 11 239  1.9  2.8  2.07 12.50  8.77 273 1024.1  12.5  12.1 999.0 99.0
96 01 02 12 178  1.7  2.2  2.08 12.50  8.86 273 1023.5  12.5  12.1 999.0 99.0
