#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 03 05 17 50  66  3.1  4.1  2.09 13.79  7.74 294 1026.6   6.8   8.8 999.0 99.0 99.00
2008 03 05 18 50  69  3.7  4.8  1.83 10.81  7.57 294 1025.8   6.9   8.9 999.0 99.0 99.00
2008 03 05 19 50  47  3.9  4.9  1.90 12.90  7.69 285 1025.3   7.3   9.0 999.0 99.0 99.00
2008 03 05 20 50 352  3.3  4.1  1.92 12.90  8.28 298 1024.8   7.4   9.2 999.0 99.0 99.00
2008 03 05 21 50 345  3.8  4.6  1.80 12.12  7.95 301 1024.0   8.1   9.1 999.0 99.0 99.00
2008 03 05 22 50   8  5.2  6.3  1.74 11.43  7.73 297 1023.3   8.6   9.2 999.0 99.0 99.00
2008 03 05 23 50 358  6.3  7.6  1.57 12.12  6.94 300 1022.6   8.6   9.3 999.0 99.0 99.00
2008 03 06 00 50   5  7.7  9.1  1.53 11.43  6.16 299 1022.3   8.8   9.2 999.0 99.0 99.00
2008 03 06 01 50   6  6.9  8.3  1.67 12.12  6.11 277 1022.7   8.8   9.1 999.0 99.0 99.00
2008 03 06 02 50  14  6.6  7.6  1.45 12.90  5.73 280 1023.0   8.8   9.1 999.0 99.0 99.00
2008 03 06 03 50  23  5.9  7.2  1.53 12.12  6.04 294 1022.5   9.0   9.0 999.0 99.0 99.00
2008 03 06 04 50  29  4.3  5.0  1.54 17.39  6.61 270 1022.2   9.1   9.0 999.0 99.0 99.00
2008 03 06 05 50  27  2.5  3.1  1.44 17.39  6.89 280 1022.1   9.2   8.9 999.0 99.0 99.00
2008 03 06 06 50  74  2.6  3.1  1.37 17.39  7.07 294 1021.7   9.7   8.9 999.0 99.0 99.00
2008 03 06 07 50  92  1.8  2.4  1.28 16.00  7.51 292 1021.5   9.4   8.9 999.0 99.0 99.00
2008 03 06 08 50 151  4.1  4.8  1.33 17.39  7.90 284 1021.5   9.6   8.9 999.0 99.0 99.00
2008 03 06 09 50 257  3.0  3.9  1.30 16.00  8.64 288 1022.5   9.3   8.9 999.0 99.0 99.00
2008 03 06 10 50 292  1.2  1.9  1.56 16.00  9.25 283 1022.9   8.8   8.9 999.0 99.0 99.00
2008 03 06 11 50 317  1.0  1.5  1.56 16.00  9.81 286 1023.4   8.7   8.9 999.0 99.0 99.00
2008 03 06 12 50 151  0.3  1.2  1.55 16.00  9.81 279 1023.8   8.6   8.9 999.0 99.0 99.00
2008 03 06 13 50 265  5.0  6.1  1.48 14.81  9.29 290 1024.8   8.5   8.9 999.0 99.0 99.00
2008 03 06 14 50 273  3.5  4.6  1.52 14.81  9.06 287 1025.6   8.4   8.9 999.0 99.0 99.00
2008 03 06 15 50  97  5.1  6.7  1.84 14.81 10.09 287 1024.6   8.3   8.8 999.0 99.0 99.00
2008 03 06 16 50 133  3.7  4.6  1.85 14.81 10.47 278 1025.4   8.5   8.8 999.0 99.0 99.00
2008 03 06 17 50 161  5.6  6.7  1.40 16.00  8.67 283 1025.4   8.8   8.9 999.0 99.0 99.00
2008 03 06 18 50 212  6.6  7.8  1.59 14.81  8.89 279 1026.3   8.9   8.9 999.0 99.0 99.00
2008 03 06 19 50 216  6.4  7.8  1.60 14.81  8.72 285 1026.5   9.0   9.0 999.0 99.0 99.00
2008 03 06 20 50 217  5.1  6.3  1.76 14.81  8.40 281 1026.7   9.0   9.0 999.0 99.0 99.00
2008 03 06 21 50 219  4.1  4.9  1.86 14.81  8.71 286 1026.9   9.2   9.1 999.0 99.0 99.00
2008 03 06 22 50 226  2.5  3.2  1.78 14.81  8.85 288 1027.4   9.2   9.2 999.0 99.0 99.00
2008 03 06 23 50 183  2.1  2.6  1.58 14.81  8.57 287 1027.4   9.1   9.2 999.0 99.0 99.00
2008 03 07 00 50 177  1.7  2.2  1.65 14.81  9.12 274 1027.1   9.1   9.1 999.0 99.0 99.00
2008 03 07 01 50 178  1.8  2.3  1.65 14.81  8.88 279 1027.3   9.1   9.1 999.0 99.0 99.00
2008 03 07 02 50 174  2.2  2.8  1.87 13.79  9.80 276 1026.9   9.0   9.0 999.0 99.0 99.00
2008 03 07 03 50 190  3.3  3.7  1.74 14.81 10.02 287 1026.7   9.0   9.1 999.0 99.0 99.00
2008 03 07 04 50 180  2.7  3.7  1.73 13.79  9.80 285 1026.7   9.0   9.0 999.0 99.0 99.00
2008 03 07 05 50 167  3.1  4.0  1.79 13.79  9.82 278 1026.3   9.0   9.0 999.0 99.0 99.00
2008 03 07 06 50 175  2.0  2.6  1.71 13.79  9.48 284 1026.0   8.9   9.0 999.0 99.0 99.00
2008 03 07 07 50 172  2.4  2.8  1.91 13.79 10.13 273 1025.6   8.4   9.0 999.0 99.0 99.00
2008 03 07 08 50 174  0.5  1.4  1.69 13.79  9.24 285 1025.4   8.0   9.0 999.0 99.0 99.00
2008 03 07 09 50 273  0.7  2.8  1.98 13.79  9.63 290 1025.8   7.6   8.9 999.0 99.0 99.00
2008 03 07 10 50 342  0.1  0.8  1.93 13.79  9.27 271 1025.6   7.3   8.9 999.0 99.0 99.00
2008 03 07 11 50  89  1.6  2.7  1.94 12.90  9.21 287 1024.8   7.0   8.9 999.0 99.0 99.00
2008 03 07 12 50 109  0.9  2.2  2.09 12.90  9.65 280 1024.6   6.9   8.9 999.0 99.0 99.00
2008 03 07 13 50 183  1.0  2.0  1.79 12.90  9.12 272 1024.7   6.7   8.9 999.0 99.0 99.00
2008 03 07 14 50 139  2.8  3.9  1.75 12.90  9.09 273 1023.4   6.9   8.9 999.0 99.0 99.00
2008 03 07 15 50 188  4.1  5.2  1.81 13.79  9.17 288 1024.4   7.6   8.9 999.0 99.0 99.00
2008 03 07 16 50 173  4.6  5.9  1.84 12.12  9.43 277 1023.7   7.7   8.9 999.0 99.0 99.00
2008 03 07 17 50 186  5.7  6.6  1.92 12.90  8.90 285 1023.2   8.4   8.9 999.0 99.0 99.00
